DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Kärnten,2019,4511.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Kärnten,2020,4292.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Kärnten,2021,4361.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Kärnten,2022,4327.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Steiermark,2013,10477.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Steiermark,2014,10202.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Steiermark,2015,10153.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Steiermark,2016,10085.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Steiermark,2017,10182.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Steiermark,2018,10122.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Steiermark,2019,9974.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Steiermark,2020,9779.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Steiermark,2021,9757.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Steiermark,2022,9502.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Oberösterreich,2013,10099.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Oberösterreich,2014,9935.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Oberösterreich,2015,9895.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Oberösterreich,2016,9875.00,
